,Knowledge representation and reasoning_CAI_01,Automated planning and scheduling_CAI_02,Machine learning_CAI_03,Natural language processing_CAI_04,Machine perception_CAI_05,Computer vision_CAI_06,Speech recognition_CAI_07,Robotics_CAI_08,Affective computing_CAI_09,Deep learning_CAI_10,Information retrieval_CAI_11,Computer science_CAI_12,Data mining_CAI_14,Commonsense knowledge_CAI_15,Intelligent agent_CAI_16,Master_Similarity
335,0.51,0.41,1.00,0.33,0.52,0.52,0.43,0.10,0.63,0.43,0.39,0.29,0.82,0.26,0.72,0.97
3182,0.53,0.55,0.80,0.22,0.49,0.26,0.22,0.53,0.70,0.32,0.34,0.10,0.40,0.29,1.00,0.97
2175,0.35,0.47,1.00,0.26,0.51,0.38,0.20,0.11,0.55,0.41,0.24,0.21,0.69,0.10,0.81,0.97
2964,0.70,0.60,1.00,0.33,0.56,0.59,0.10,0.61,0.71,0.54,0.37,0.74,0.80,0.33,0.90,0.97
1159,0.63,0.89,1.00,0.36,0.44,0.18,0.49,0.53,0.80,0.23,0.46,0.18,0.72,0.10,0.88,0.97
1011,0.78,0.89,1.00,0.26,0.52,0.34,0.48,0.53,0.93,0.20,0.62,0.10,0.79,0.26,0.96,0.97
2207,0.43,0.34,1.00,0.19,0.52,0.29,0.20,0.20,0.78,0.32,0.10,0.21,0.57,0.24,0.72,0.97
1977,0.46,0.57,1.00,0.34,0.53,0.23,0.31,0.18,0.48,0.48,0.22,0.10,0.61,0.22,0.83,0.97
1717,0.85,0.92,1.00,0.44,0.72,0.77,0.73,0.75,0.76,0.88,0.63,0.58,0.90,0.10,0.95,0.97
167,0.48,0.45,1.00,0.29,0.53,0.42,0.26,0.26,0.60,0.51,0.10,0.53,0.44,0.16,0.68,0.97
2913,0.53,0.65,1.00,0.22,0.69,0.36,0.28,0.48,0.50,0.46,0.18,0.10,0.59,0.34,0.77,0.97
422,0.37,0.51,1.00,0.40,0.58,0.48,0.23,0.32,0.62,0.51,0.10,0.24,0.50,0.16,0.63,0.97
2947,0.55,0.67,0.77,0.20,0.54,0.43,0.71,0.28,0.68,0.51,0.48,0.10,0.75,0.23,1.00,0.97
3315,0.69,0.51,1.00,0.46,0.48,0.35,0.18,0.10,0.69,0.36,0.40,0.39,0.83,0.46,0.84,0.96
2537,0.73,0.46,1.00,0.52,0.54,0.40,0.24,0.10,0.72,0.48,0.38,0.44,0.79,0.55,0.88,0.96
3313,0.66,0.44,1.00,0.53,0.51,0.43,0.31,0.10,0.76,0.42,0.46,0.60,0.87,0.35,0.90,0.96
1891,0.48,0.59,0.79,0.35,0.49,0.46,0.48,0.10,0.82,0.68,0.44,0.38,0.85,0.39,1.00,0.96
2384,0.65,0.36,1.00,0.25,0.56,0.34,0.22,0.10,0.58,0.48,0.20,0.16,0.52,0.23,0.58,0.96
978,0.39,0.38,1.00,0.43,0.43,0.33,0.28,0.10,0.58,0.47,0.25,0.26,0.61,0.34,0.60,0.96
3051,0.42,0.45,1.00,0.34,0.68,0.60,0.31,0.32,0.56,0.67,0.12,0.22,0.36,0.10,0.74,0.96
3426,0.54,0.42,1.00,0.35,0.47,0.28,0.10,0.11,0.59,0.41,0.28,0.34,0.75,0.36,0.70,0.96
1051,0.51,0.74,0.94,0.20,0.54,0.23,0.55,0.60,1.00,0.12,0.58,0.10,0.73,0.16,0.90,0.96
2538,0.67,0.53,1.00,0.39,0.41,0.22,0.10,0.51,0.56,0.35,0.30,0.11,0.64,0.32,0.70,0.96
15,0.77,0.74,1.00,0.56,0.68,0.41,0.10,0.52,0.87,0.82,0.53,0.56,0.46,0.28,0.76,0.96
551,0.40,0.48,1.00,0.52,0.59,0.28,0.30,0.10,0.77,0.53,0.43,0.45,0.65,0.46,0.90,0.96
2547,0.74,0.57,0.78,0.39,0.55,0.20,0.42,0.43,0.87,0.21,0.47,0.10,0.55,0.48,1.00,0.96
2972,0.61,0.73,0.79,0.30,0.46,0.61,0.58,0.51,0.53,0.62,0.63,0.10,0.74,0.33,1.00,0.96
1798,0.39,0.51,1.00,0.45,0.41,0.29,0.31,0.35,0.95,0.42,0.13,0.10,0.68,0.33,0.70,0.96
2415,0.80,0.96,1.00,0.66,0.68,0.69,0.67,0.61,0.83,0.71,0.90,0.91,0.95,0.10,0.82,0.96
1029,0.71,0.49,1.00,0.37,0.51,0.66,0.51,0.10,0.69,0.51,0.49,0.39,0.99,0.46,0.76,0.96
73,0.61,0.62,1.00,0.30,0.57,0.37,0.10,0.14,0.49,0.38,0.11,0.28,0.49,0.21,0.80,0.96
2712,0.58,0.37,1.00,0.62,0.57,0.44,0.31,0.10,0.65,0.54,0.28,0.28,0.49,0.43,0.82,0.96
1809,0.63,0.49,1.00,0.51,0.58,0.65,0.54,0.10,0.75,0.41,0.38,0.35,0.93,0.44,0.64,0.96
3401,0.56,0.63,1.00,0.69,0.71,0.73,0.93,0.67,0.88,0.39,0.68,0.74,0.94,0.10,0.95,0.96
2458,0.71,0.50,1.00,0.47,0.48,0.36,0.20,0.10,0.68,0.40,0.37,0.41,0.80,0.50,0.87,0.96
2001,0.46,0.55,0.99,0.52,0.51,0.36,0.35,0.38,1.00,0.47,0.10,0.28,0.30,0.36,0.75,0.96
1421,0.61,1.00,0.83,0.42,0.50,0.59,0.55,0.31,0.57,0.42,0.53,0.58,0.66,0.10,0.83,0.96
2829,0.54,0.54,1.00,0.50,0.62,0.50,0.37,0.38,0.82,0.82,0.10,0.27,0.40,0.46,0.86,0.96
812,0.66,0.47,1.00,0.50,0.46,0.40,0.29,0.10,0.72,0.31,0.41,0.52,0.86,0.43,0.79,0.96
1379,0.92,0.82,0.93,0.10,0.80,0.58,0.11,0.69,0.97,0.37,0.70,0.29,0.47,0.14,1.00,0.96
1410,0.28,0.34,1.00,0.32,0.54,0.40,0.30,0.32,0.60,0.58,0.17,0.10,0.45,0.11,0.47,0.96
2715,0.70,0.47,1.00,0.36,0.56,0.41,0.10,0.47,0.63,0.74,0.10,0.55,0.51,0.16,0.74,0.96
894,0.60,0.66,1.00,0.57,0.82,0.60,0.35,0.81,0.80,0.58,0.10,0.49,0.44,0.43,0.96,0.96
2886,0.59,0.61,0.85,0.19,0.54,0.35,0.29,0.10,0.54,0.33,0.32,0.22,0.41,0.33,1.00,0.96
1681,0.40,0.27,1.00,0.36,0.52,0.44,0.34,0.10,0.59,0.49,0.23,0.22,0.70,0.29,0.84,0.96
930,0.45,0.26,1.00,0.40,0.46,0.29,0.31,0.17,0.56,0.36,0.48,0.10,0.81,0.24,0.66,0.96
3390,0.75,0.47,1.00,0.40,0.59,0.68,0.51,0.10,0.84,0.45,0.66,0.48,0.94,0.42,0.91,0.96
1032,0.86,0.76,1.00,0.10,0.69,0.48,0.15,0.61,0.72,0.65,0.28,0.50,0.47,0.41,0.86,0.96
2507,0.55,0.52,1.00,0.37,0.50,0.25,0.22,0.10,0.67,0.41,0.22,0.26,0.61,0.38,0.93,0.96
2473,0.71,0.69,0.74,0.26,0.67,0.42,0.20,0.40,0.55,0.56,0.23,0.10,0.46,0.37,1.00,0.96
588,0.48,0.30,1.00,0.31,0.42,0.25,0.10,0.20,0.51,0.52,0.19,0.22,0.42,0.23,0.59,0.96
454,0.35,0.48,0.89,0.27,0.67,0.42,0.10,0.50,1.00,0.58,0.34,0.26,0.38,0.30,0.69,0.96
2932,0.44,0.30,1.00,0.29,0.54,0.41,0.22,0.17,0.59,0.55,0.10,0.19,0.50,0.30,0.54,0.96
2307,0.42,0.37,1.00,0.28,0.64,0.48,0.25,0.36,0.51,0.59,0.10,0.12,0.56,0.24,0.49,0.96
2577,0.44,0.39,1.00,0.32,0.56,0.47,0.31,0.35,0.75,0.62,0.10,0.29,0.58,0.30,0.50,0.96
573,0.37,0.45,1.00,0.40,0.41,0.33,0.33,0.10,0.72,0.34,0.32,0.23,0.48,0.31,0.53,0.96
1690,0.70,0.83,0.95,0.34,0.77,0.76,0.40,0.98,0.66,0.67,0.60,0.60,1.00,0.10,0.73,0.96
2694,0.48,0.61,1.00,0.47,0.86,0.64,0.34,0.81,0.82,0.66,0.10,0.17,0.49,0.40,0.86,0.96
898,0.72,0.67,1.00,0.32,0.35,0.47,0.40,0.10,0.74,0.22,0.35,0.27,0.98,0.24,0.72,0.96
1062,0.61,0.48,1.00,0.42,0.53,0.30,0.49,0.10,0.57,0.31,0.55,0.20,0.95,0.22,0.84,0.96
594,0.28,0.93,1.00,0.45,0.55,0.46,0.39,0.57,0.85,0.67,0.65,0.37,0.63,0.10,0.64,0.96
386,0.62,0.61,0.96,0.45,0.61,0.42,0.25,0.25,0.74,0.58,0.19,0.10,0.44,0.47,1.00,0.96
0,0.77,0.63,1.00,0.70,0.52,0.50,0.48,0.10,0.65,0.64,0.44,0.44,0.69,0.45,0.84,0.96
2293,0.87,0.74,1.00,0.47,0.63,0.42,0.60,0.67,0.85,0.10,0.81,0.46,0.91,0.39,0.94,0.96
2316,0.55,0.52,1.00,0.38,0.46,0.52,0.64,0.44,0.85,0.52,0.35,0.10,0.59,0.15,0.37,0.96
3448,1.00,0.97,0.96,0.10,0.57,0.42,0.28,0.43,0.90,0.24,0.67,0.24,0.95,0.24,0.96,0.96
3452,0.43,0.38,1.00,0.31,0.55,0.43,0.31,0.35,0.62,0.68,0.10,0.29,0.45,0.28,0.55,0.96
398,0.54,0.55,1.00,0.42,0.72,0.52,0.17,0.44,0.78,0.66,0.10,0.34,0.43,0.48,0.86,0.96
223,0.74,0.67,0.77,0.10,0.65,0.54,0.37,0.42,0.55,0.79,0.61,0.51,0.66,0.18,1.00,0.96
2497,0.50,0.57,1.00,0.40,0.70,0.47,0.24,0.68,0.62,0.73,0.10,0.47,0.46,0.36,0.90,0.96
3007,0.53,0.42,0.90,0.54,0.54,0.40,0.29,0.10,0.64,0.51,0.32,0.29,0.50,0.41,1.00,0.96
434,0.33,0.56,1.00,0.34,0.87,0.66,0.42,0.78,0.81,0.42,0.46,0.32,0.91,0.10,0.65,0.96
1762,0.56,0.85,0.80,0.36,0.51,0.55,0.54,0.10,0.83,0.39,0.53,0.41,0.60,0.40,1.00,0.96
51,0.68,0.51,1.00,0.50,0.51,0.36,0.15,0.10,0.70,0.33,0.39,0.37,0.81,0.45,0.86,0.96
3347,0.52,0.37,0.96,0.23,0.50,0.47,0.46,0.10,0.67,0.56,0.34,0.32,0.58,0.42,1.00,0.96
488,0.42,0.47,1.00,0.40,0.64,0.30,0.10,0.16,0.55,0.40,0.37,0.14,0.62,0.36,0.95,0.96
445,1.00,0.53,0.90,0.24,0.71,0.32,0.38,0.37,0.77,0.53,0.69,0.59,0.46,0.10,0.84,0.96
3017,0.59,0.72,1.00,0.53,0.74,0.70,0.20,0.53,0.70,0.69,0.10,0.28,0.64,0.38,0.78,0.96
2997,0.70,0.74,0.82,0.44,0.59,0.47,0.55,0.62,0.59,0.66,0.68,0.43,1.00,0.10,0.66,0.96
1790,0.47,0.43,1.00,0.43,0.48,0.49,0.10,0.31,0.53,0.47,0.33,0.56,0.76,0.35,0.61,0.96
1774,0.44,0.72,0.89,0.17,1.00,0.67,0.52,0.21,0.93,0.60,0.72,0.45,0.82,0.10,0.84,0.96
491,0.50,0.42,1.00,0.54,0.61,0.48,0.26,0.45,0.62,0.53,0.10,0.54,0.59,0.39,0.75,0.96
497,0.79,0.89,0.83,0.32,0.61,0.49,0.34,0.47,0.76,0.54,0.10,0.37,0.39,0.39,1.00,0.96
994,0.78,0.91,0.92,0.10,0.52,0.41,0.53,0.33,0.59,0.63,0.54,0.22,0.77,0.39,1.00,0.96
436,0.55,0.55,1.00,0.26,0.79,0.81,0.10,0.27,0.64,0.59,0.23,0.25,0.63,0.32,0.74,0.96
2492,0.62,0.60,0.87,0.10,0.66,0.44,0.40,0.11,0.61,0.80,0.47,0.39,0.61,0.31,1.00,0.96
2493,0.44,0.30,1.00,0.40,0.51,0.54,0.55,0.29,0.74,0.33,0.51,0.54,0.81,0.10,0.56,0.96
2000,0.47,0.47,1.00,0.32,0.54,0.29,0.10,0.18,0.64,0.40,0.22,0.26,0.38,0.43,0.63,0.96
3434,0.84,0.65,1.00,0.53,0.57,0.30,0.37,0.29,0.68,0.59,0.42,0.10,0.49,0.43,0.82,0.96
2719,0.83,0.92,0.78,0.49,0.80,0.68,0.49,0.71,0.58,0.55,0.49,0.10,0.51,0.41,1.00,0.96
1949,0.39,0.45,1.00,0.25,0.49,0.44,0.10,0.10,0.50,0.54,0.30,0.27,0.65,0.28,0.64,0.96
1648,0.57,0.42,1.00,0.39,0.51,0.59,0.65,0.10,0.67,0.41,0.68,0.43,0.94,0.35,0.84,0.96
3242,0.41,0.41,1.00,0.33,0.55,0.40,0.31,0.25,0.58,0.53,0.10,0.24,0.47,0.23,0.41,0.96
616,0.48,0.88,1.00,0.35,0.85,0.43,0.22,0.55,0.70,0.51,0.39,0.10,0.69,0.46,0.98,0.96
2268,0.65,0.53,1.00,0.24,0.66,0.59,0.11,0.43,0.53,0.47,0.10,0.23,0.41,0.26,0.60,0.96
2621,0.66,0.38,0.98,0.53,0.76,0.59,0.10,0.38,0.87,0.73,0.31,0.47,0.39,0.44,1.00,0.96
2620,0.69,0.47,1.00,0.10,0.82,0.80,0.44,0.44,0.75,0.41,0.89,0.39,0.79,0.19,0.76,0.96
1347,0.51,0.42,1.00,0.47,0.50,0.36,0.21,0.10,0.70,0.53,0.22,0.37,0.66,0.42,0.73,0.96
328,0.40,0.27,1.00,0.35,0.47,0.50,0.27,0.21,0.71,0.50,0.36,0.24,0.77,0.10,0.48,0.96
1187,0.48,0.41,1.00,0.24,0.74,0.66,0.43,0.48,0.87,0.78,0.48,0.56,0.75,0.10,0.56,0.96
1337,0.54,0.58,0.91,0.37,0.56,0.24,0.28,0.41,1.00,0.10,0.61,0.39,0.59,0.22,0.59,0.96
2883,0.67,0.61,0.78,0.39,0.54,0.40,0.30,0.37,0.62,0.63,0.10,0.33,0.42,0.40,1.00,0.96
2645,0.64,0.79,0.95,0.10,0.75,0.60,0.63,0.58,0.85,0.26,0.87,0.57,1.00,0.20,0.99,0.96
1655,0.62,0.85,0.84,0.51,0.51,0.49,0.69,1.00,0.82,0.33,0.45,0.55,0.86,0.10,0.94,0.96
1466,0.36,0.44,1.00,0.48,0.42,0.34,0.36,0.21,0.70,0.46,0.10,0.23,0.50,0.33,0.77,0.96
313,0.62,0.33,0.82,0.44,0.61,0.39,0.63,0.10,0.77,0.45,0.61,0.41,0.82,0.34,1.00,0.96
2837,0.86,0.65,1.00,0.47,0.59,0.34,0.39,0.34,0.65,0.65,0.45,0.10,0.42,0.42,0.84,0.96
3255,0.67,0.49,1.00,0.47,0.51,0.37,0.21,0.10,0.69,0.38,0.39,0.40,0.78,0.48,0.85,0.96
312,0.34,0.41,0.85,0.24,0.63,0.23,0.34,0.57,1.00,0.41,0.54,0.40,0.67,0.10,0.61,0.96
714,0.35,0.41,1.00,0.37,0.67,0.56,0.27,0.53,0.66,0.61,0.10,0.48,0.44,0.15,0.57,0.96
1522,0.51,0.63,0.86,0.37,0.60,0.56,0.48,0.50,0.98,0.49,0.80,0.38,1.00,0.10,0.61,0.96
1999,0.56,0.60,1.00,0.35,0.49,0.39,0.23,0.10,0.53,0.60,0.12,0.27,0.52,0.30,0.81,0.96
2280,0.54,0.50,1.00,0.31,0.57,0.46,0.10,0.56,0.68,0.36,0.20,0.64,0.68,0.37,0.71,0.96
2233,0.61,0.51,0.88,0.32,0.44,0.45,0.26,0.10,0.55,0.43,0.27,0.41,0.73,0.40,1.00,0.96
318,0.39,0.56,1.00,0.29,0.60,0.49,0.15,0.61,0.54,0.42,0.10,0.33,0.64,0.29,0.63,0.96
316,0.56,0.68,0.83,0.32,0.46,0.32,0.59,0.25,0.56,0.39,0.51,0.10,0.61,0.43,1.00,0.96
364,0.48,0.75,1.00,0.45,0.70,0.75,0.34,0.73,0.55,0.63,0.38,0.10,0.80,0.31,0.68,0.96
1680,0.64,0.76,0.94,0.43,0.54,0.53,0.62,0.10,0.88,0.49,0.47,0.26,0.71,0.57,1.00,0.96
642,0.57,0.49,1.00,0.33,0.66,0.55,0.10,0.53,0.59,0.78,0.14,0.37,0.50,0.15,0.70,0.96
1446,0.53,0.52,1.00,0.45,0.56,0.39,0.21,0.18,0.72,0.36,0.32,0.10,0.66,0.52,0.90,0.96
2895,0.40,0.54,0.79,0.40,0.64,0.25,0.41,0.55,1.00,0.10,0.50,0.33,0.58,0.29,0.69,0.96
1331,0.34,0.41,1.00,0.29,0.43,0.23,0.20,0.25,0.84,0.32,0.10,0.18,0.44,0.20,0.79,0.96
603,0.43,0.66,1.00,0.19,0.59,0.43,0.39,0.82,0.89,0.52,0.79,0.17,0.71,0.10,0.79,0.96
1432,0.97,0.62,0.72,0.41,0.76,0.66,0.60,0.56,0.58,0.80,0.57,0.59,0.56,0.10,1.00,0.96
3102,0.68,0.50,1.00,0.50,0.51,0.35,0.17,0.10,0.71,0.36,0.36,0.40,0.83,0.48,0.84,0.96
323,0.81,0.83,1.00,0.26,0.73,0.53,0.49,0.85,0.73,0.61,0.59,0.55,0.34,0.10,0.72,0.96
2871,0.42,0.45,1.00,0.37,0.62,0.54,0.31,0.41,0.57,0.73,0.10,0.33,0.42,0.18,0.51,0.96
1171,0.70,0.57,1.00,0.62,0.77,0.73,0.51,0.45,0.50,0.57,0.60,0.10,0.87,0.17,0.64,0.96
2601,0.69,0.44,0.94,0.35,0.52,0.60,0.57,0.10,0.61,0.44,0.38,0.69,0.79,0.37,1.00,0.96
2807,0.36,0.44,1.00,0.42,0.61,0.51,0.22,0.43,0.55,0.69,0.10,0.44,0.59,0.15,0.55,0.96
1534,0.45,0.87,1.00,0.29,0.79,0.53,0.41,0.10,0.74,0.34,0.77,0.35,0.86,0.11,0.90,0.96
228,0.47,0.45,1.00,0.42,0.61,0.34,0.13,0.23,0.62,0.58,0.10,0.33,0.41,0.29,0.66,0.96
2773,0.57,0.52,0.91,0.44,0.46,0.24,0.30,0.26,0.90,0.34,0.40,0.10,0.60,0.45,1.00,0.96
1617,0.66,0.73,0.75,0.29,0.58,0.57,0.54,0.48,0.38,0.45,0.43,0.57,0.67,0.10,1.00,0.96
2159,0.80,0.36,0.83,0.35,0.58,0.40,0.37,0.40,1.00,0.58,0.56,0.50,0.51,0.10,0.54,0.96
1639,0.83,0.71,0.93,0.51,0.60,0.52,0.70,0.10,0.73,0.41,0.67,0.23,0.83,0.43,1.00,0.96
1550,0.48,0.37,1.00,0.40,0.46,0.51,0.41,0.10,0.71,0.60,0.36,0.58,0.84,0.38,0.80,0.96
3211,0.37,0.38,1.00,0.24,0.66,0.46,0.17,0.10,0.85,0.56,0.34,0.24,0.35,0.29,0.72,0.96
1366,0.51,0.75,0.93,0.34,0.50,0.31,0.68,0.30,0.70,0.39,0.41,0.10,0.74,0.50,1.00,0.96
218,0.47,0.35,1.00,0.50,0.65,0.37,0.21,0.32,0.59,0.54,0.15,0.10,0.49,0.34,0.66,0.96
1368,0.51,0.74,1.00,0.54,0.49,0.37,0.44,0.44,0.57,0.43,0.68,0.10,0.92,0.39,0.80,0.96
2685,0.68,0.53,1.00,0.43,0.45,0.29,0.31,0.10,0.66,0.43,0.50,0.32,0.66,0.53,0.78,0.96
2199,0.67,0.63,1.00,0.32,0.48,0.39,0.34,0.10,0.85,0.34,0.56,0.46,0.92,0.49,0.92,0.96
2687,0.45,0.47,1.00,0.39,0.50,0.41,0.40,0.10,0.79,0.40,0.34,0.56,0.94,0.42,0.87,0.96
657,0.63,0.69,0.82,0.42,0.51,0.42,0.45,0.10,0.61,0.51,0.37,0.16,0.65,0.47,1.00,0.96
705,0.46,0.50,1.00,0.18,0.48,0.46,0.12,0.46,0.65,0.46,0.10,0.56,0.61,0.35,0.66,0.96
1096,0.59,0.75,1.00,0.19,0.71,0.38,0.23,0.59,0.52,0.44,0.16,0.10,0.53,0.32,0.79,0.96
2085,0.60,0.77,1.00,0.33,0.42,0.40,0.23,0.30,0.63,0.35,0.10,0.67,0.62,0.16,0.63,0.96
2596,0.36,0.31,1.00,0.37,0.52,0.47,0.40,0.10,0.63,0.56,0.10,0.29,0.56,0.22,0.63,0.96
232,0.59,0.46,1.00,0.51,0.37,0.30,0.10,0.25,0.52,0.35,0.14,0.40,0.66,0.24,0.69,0.96
1392,0.33,0.40,1.00,0.37,0.42,0.34,0.30,0.10,0.70,0.32,0.26,0.23,0.45,0.25,0.50,0.96
1605,0.59,0.53,1.00,0.43,0.53,0.44,0.29,0.26,0.48,0.59,0.30,0.47,0.55,0.10,0.46,0.96
3010,0.67,0.68,1.00,0.82,0.66,0.50,0.70,0.56,0.70,0.96,0.70,0.27,0.71,0.10,1.00,0.96
1391,0.88,0.64,0.82,0.25,0.44,0.27,0.66,0.22,0.80,0.51,0.58,0.10,0.88,0.21,1.00,0.96
1572,0.69,0.33,1.00,0.29,0.52,0.46,0.57,0.10,0.70,0.54,0.26,0.48,0.46,0.26,0.95,0.96
249,0.69,0.34,0.85,0.33,0.63,0.69,0.39,0.55,1.00,0.21,0.40,0.44,0.50,0.10,0.52,0.96
2141,0.64,0.63,1.00,0.21,0.54,0.26,0.28,0.20,0.57,0.54,0.10,0.28,0.35,0.21,0.95,0.96
252,0.68,0.65,1.00,0.14,0.37,0.49,0.41,0.10,0.56,0.57,0.44,0.32,0.81,0.35,0.98,0.96
1115,0.49,0.76,1.00,0.45,0.70,0.75,0.34,0.74,0.55,0.63,0.38,0.10,0.81,0.32,0.68,0.96
1135,0.69,0.64,1.00,0.31,0.49,0.39,0.35,0.10,0.86,0.34,0.56,0.49,0.89,0.47,0.94,0.96
2158,0.31,0.34,1.00,0.43,0.51,0.35,0.10,0.20,0.66,0.52,0.20,0.29,0.52,0.26,0.56,0.96
244,0.44,0.57,1.00,0.55,0.98,0.43,0.34,0.63,0.98,0.44,0.28,0.11,0.31,0.10,0.73,0.96
721,0.56,0.36,1.00,0.51,0.62,0.55,0.10,0.40,0.62,0.55,0.28,0.60,0.63,0.40,0.65,0.96
